source_key,destination_key,default_value,tag
id,id,,existing
address.barangay,answers.barangay,,existing
address.country,answers.country,,existing
address.lot_or_house_number,answers.houseOrLotNumber,,existing
address.postal_code,answers.postalCode,,existing
address.province,answers.province,,existing
birthdate,answers.DoB,,existing
contact_number.number,answers.contactNumber,,existing
email_address,answers.emailAddress,,existing
family_members,answers.household_members,existing
first_name,answers.firstName,existing
last_name,answers.lastName,existing
middle_name,answers.middleName,existing
gender,sexual_preference,,existing
registered_at,dateCreated,,existing
user-cam.id,createdBy,,existing
,formid,newAQM,new