source_key,source_type,destination_key,destination_type,data_type,data_source,data_format,data_transformation,default_value,lookup_value
personal.answers.gender,string,_source.sex,string,existing,original,,not required,,
account.answers.DoB,string,_source.birth_date,string,existing,original,,not required,,
account.answers.countrName,string,_source.address.country,string,existing,original,,not required,,
account.answers.provinceCity,string,_source.address.province,float,existing,original,,not required,,
account.answes.postalCode,string,_source.address.zip,float,existing,original,,not required,,
account.organization,string,_source.org,string,existing,original,,not required,,
account.createdBy,string,_source.cam_account,string,existing,original,,not required,,
personal.answers.civilStatus,string,_source.civil_st,string,existing,original,,not required,,
general.answers.religion,string,_source.religion,string,existing,original,,not required,,
general.answers.highestEducation,string,_source.educ,string,existing,original,,not required,,
general.answers.employmentStatus,string,_source.employed.is_empl,string,existing,original,,not required,,
personal.answers.employmentIncome,string,_source.employed.m_income,string,existing,original,,not required,,
general.answers.employmentArea,string,_source.employed.nature,string,existing,original,,not required,,